,Survived,Pclass,Age,SibSp,Parch,Fare,Gender
858,1,3,24.0,0,3,19.2583,0
860,0,3,41.0,2,0,14.1083,1
861,0,2,21.0,1,0,11.5,1
862,1,1,48.0,0,0,25.9292,0
864,0,2,24.0,0,0,13.0,1
865,1,2,42.0,0,0,13.0,0
866,1,2,27.0,1,0,13.8583,0
867,0,1,31.0,0,0,50.4958,1
869,1,3,4.0,1,1,11.1333,1
870,0,3,26.0,0,0,7.8958,1
871,1,1,47.0,1,1,52.5542,0
872,0,1,33.0,0,0,5.0,1
873,0,3,47.0,0,0,9.0,1
874,1,2,28.0,1,0,24.0,0
875,1,3,15.0,0,0,7.225,0
876,0,3,20.0,0,0,9.8458,1
877,0,3,19.0,0,0,7.8958,1
879,1,1,56.0,0,1,83.1583,0
880,1,2,25.0,0,1,26.0,0
881,0,3,33.0,0,0,7.8958,1
882,0,3,22.0,0,0,10.5167,0
883,0,2,28.0,0,0,10.5,1
884,0,3,25.0,0,0,7.05,1
885,0,3,39.0,0,5,29.125,0
886,0,2,27.0,0,0,13.0,1
887,1,1,19.0,0,0,30.0,0
889,1,1,26.0,0,0,30.0,1
890,0,3,32.0,0,0,7.75,1
